Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.8169, 'learning_rate': 0.0009202617051727663, 'epoch': 0.32}
{'loss': 1.7473, 'learning_rate': 0.0009199209432290601, 'epoch': 0.32}
{'loss': 1.794, 'learning_rate': 0.000919580181285354, 'epoch': 0.32}
{'loss': 1.6661, 'learning_rate': 0.0009192394193416479, 'epoch': 0.32}
{'loss': 1.6664, 'learning_rate': 0.0009188986573979418, 'epoch': 0.32}
{'loss': 1.6962, 'learning_rate': 0.0009185578954542357, 'epoch': 0.33}
{'loss': 1.5326, 'learning_rate': 0.0009182171335105296, 'epoch': 0.33}
{'loss': 1.7196, 'learning_rate': 0.0009178763715668235, 'epoch': 0.33}
{'loss': 1.4575, 'learning_rate': 0.0009175356096231173, 'epoch': 0.33}
{'loss': 1.8637, 'learning_rate': 0.0009171948476794112, 'epoch': 0.33}
{'loss': 1.7281, 'learning_rate': 0.000916854085735705, 'epoch': 0.33}
{'loss': 1.6687, 'learning_rate': 0.000916513323791999, 'epoch': 0.33}
{'loss': 1.5113, 'learning_rate': 0.0009161725618482928, 'epoch': 0.34}
{'loss': 1.6895, 'learning_rate': 0.0009158317999045867, 'epoch': 0.34}
{'loss': 1.6335, 'learning_rate': 0.0009154910379608805, 'epoch': 0.34}
{'loss': 1.6899, 'learning_rate': 0.0009151502760171744, 'epoch': 0.34}
{'loss': 1.6456, 'learning_rate': 0.0009148095140734682, 'epoch': 0.34}
{'loss': 1.8702, 'learning_rate': 0.0009144687521297622, 'epoch': 0.34}
{'loss': 1.6548, 'learning_rate': 0.0009141279901860561, 'epoch': 0.34}
{'loss': 1.6697, 'learning_rate': 0.0009137872282423499, 'epoch': 0.34}
{'loss': 1.5681, 'learning_rate': 0.0009134464662986438, 'epoch': 0.35}
{'loss': 1.8399, 'learning_rate': 0.0009131057043549376, 'epoch': 0.35}
{'loss': 1.7457, 'learning_rate': 0.0009127649424112316, 'epoch': 0.35}
{'loss': 1.7709, 'learning_rate': 0.0009124241804675254, 'epoch': 0.35}
{'loss': 1.6565, 'learning_rate': 0.0009120834185238193, 'epoch': 0.35}
{'loss': 1.7308, 'learning_rate': 0.0009117426565801131, 'epoch': 0.35}
{'loss': 1.689, 'learning_rate': 0.000911401894636407, 'epoch': 0.35}
{'loss': 1.7481, 'learning_rate': 0.0009110611326927008, 'epoch': 0.36}
{'loss': 1.6421, 'learning_rate': 0.0009107203707489947, 'epoch': 0.36}
{'loss': 1.8337, 'learning_rate': 0.0009103796088052887, 'epoch': 0.36}
{'loss': 1.9809, 'learning_rate': 0.0009100388468615825, 'epoch': 0.36}
{'loss': 1.5524, 'learning_rate': 0.0009096980849178765, 'epoch': 0.36}
{'loss': 1.6013, 'learning_rate': 0.0009093573229741703, 'epoch': 0.36}
{'loss': 1.7291, 'learning_rate': 0.0009090165610304642, 'epoch': 0.36}
{'loss': 1.639, 'learning_rate': 0.000908675799086758, 'epoch': 0.37}
{'loss': 1.5725, 'learning_rate': 0.0009083350371430519, 'epoch': 0.37}
{'loss': 1.5575, 'learning_rate': 0.0009079942751993457, 'epoch': 0.37}
{'loss': 1.66, 'learning_rate': 0.0009076535132556396, 'epoch': 0.37}
{'loss': 1.6698, 'learning_rate': 0.0009073127513119334, 'epoch': 0.37}
{'loss': 1.8632, 'learning_rate': 0.0009069719893682273, 'epoch': 0.37}
{'loss': 1.8501, 'learning_rate': 0.0009066312274245212, 'epoch': 0.37}
{'loss': 1.5741, 'learning_rate': 0.0009062904654808152, 'epoch': 0.37}
{'loss': 1.8123, 'learning_rate': 0.0009059497035371091, 'epoch': 0.38}
{'loss': 1.5885, 'learning_rate': 0.0009056089415934029, 'epoch': 0.38}
{'loss': 1.8726, 'learning_rate': 0.0009052681796496968, 'epoch': 0.38}
{'loss': 1.7755, 'learning_rate': 0.0009049274177059906, 'epoch': 0.38}
{'loss': 1.69, 'learning_rate': 0.0009045866557622845, 'epoch': 0.38}
{'loss': 1.7831, 'learning_rate': 0.0009042458938185783, 'epoch': 0.38}
{'loss': 1.5264, 'learning_rate': 0.0009039051318748722, 'epoch': 0.38}
{'loss': 1.7253, 'learning_rate': 0.000903564369931166, 'epoch': 0.39}
