Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.4624, 'learning_rate': 0.000924487594390507, 'epoch': 0.3}
{'loss': 1.4637, 'learning_rate': 0.0009239482200647249, 'epoch': 0.3}
{'loss': 1.6082, 'learning_rate': 0.0009234088457389428, 'epoch': 0.31}
{'loss': 1.434, 'learning_rate': 0.0009228694714131608, 'epoch': 0.31}
{'loss': 1.5502, 'learning_rate': 0.0009223300970873787, 'epoch': 0.31}
{'loss': 1.3165, 'learning_rate': 0.0009217907227615966, 'epoch': 0.31}
{'loss': 1.6313, 'learning_rate': 0.0009212513484358145, 'epoch': 0.31}
{'loss': 1.5604, 'learning_rate': 0.0009207119741100324, 'epoch': 0.32}
{'loss': 1.3899, 'learning_rate': 0.0009201725997842503, 'epoch': 0.32}
{'loss': 1.5577, 'learning_rate': 0.0009196332254584682, 'epoch': 0.32}
{'loss': 1.5166, 'learning_rate': 0.0009190938511326861, 'epoch': 0.32}
{'loss': 1.5163, 'learning_rate': 0.000918554476806904, 'epoch': 0.33}
{'loss': 1.5782, 'learning_rate': 0.000918015102481122, 'epoch': 0.33}
{'loss': 1.2637, 'learning_rate': 0.0009174757281553399, 'epoch': 0.33}
{'loss': 1.6906, 'learning_rate': 0.0009169363538295578, 'epoch': 0.33}
{'loss': 1.5772, 'learning_rate': 0.0009163969795037756, 'epoch': 0.33}
{'loss': 1.582, 'learning_rate': 0.0009158576051779935, 'epoch': 0.34}
{'loss': 1.4733, 'learning_rate': 0.0009153182308522114, 'epoch': 0.34}
{'loss': 1.9462, 'learning_rate': 0.0009147788565264293, 'epoch': 0.34}
{'loss': 1.617, 'learning_rate': 0.0009142394822006472, 'epoch': 0.34}
{'loss': 1.5213, 'learning_rate': 0.0009137001078748651, 'epoch': 0.35}
{'loss': 1.5491, 'learning_rate': 0.0009131607335490831, 'epoch': 0.35}
{'loss': 1.6183, 'learning_rate': 0.000912621359223301, 'epoch': 0.35}
{'loss': 1.407, 'learning_rate': 0.0009120819848975189, 'epoch': 0.35}
{'loss': 1.4076, 'learning_rate': 0.0009115426105717368, 'epoch': 0.35}
{'loss': 1.5975, 'learning_rate': 0.0009110032362459547, 'epoch': 0.36}
{'loss': 1.6454, 'learning_rate': 0.0009104638619201726, 'epoch': 0.36}
{'loss': 1.463, 'learning_rate': 0.0009099244875943905, 'epoch': 0.36}
{'loss': 1.5148, 'learning_rate': 0.0009093851132686084, 'epoch': 0.36}
{'loss': 1.3318, 'learning_rate': 0.0009088457389428263, 'epoch': 0.36}
{'loss': 1.8663, 'learning_rate': 0.0009083063646170443, 'epoch': 0.37}
{'loss': 1.4298, 'learning_rate': 0.0009077669902912621, 'epoch': 0.37}
{'loss': 1.4943, 'learning_rate': 0.00090722761596548, 'epoch': 0.37}
{'loss': 1.3892, 'learning_rate': 0.000906688241639698, 'epoch': 0.37}
{'loss': 1.374, 'learning_rate': 0.0009061488673139158, 'epoch': 0.38}
{'loss': 1.4323, 'learning_rate': 0.0009056094929881338, 'epoch': 0.38}
{'loss': 1.9235, 'learning_rate': 0.0009050701186623517, 'epoch': 0.38}
{'loss': 1.4324, 'learning_rate': 0.0009045307443365696, 'epoch': 0.38}
{'loss': 1.5811, 'learning_rate': 0.0009039913700107875, 'epoch': 0.38}
{'loss': 1.5261, 'learning_rate': 0.0009034519956850055, 'epoch': 0.39}
{'loss': 1.5045, 'learning_rate': 0.0009029126213592234, 'epoch': 0.39}
{'loss': 1.5907, 'learning_rate': 0.0009023732470334413, 'epoch': 0.39}
{'loss': 1.6231, 'learning_rate': 0.0009018338727076592, 'epoch': 0.39}
{'loss': 1.3001, 'learning_rate': 0.0009012944983818771, 'epoch': 0.39}
{'loss': 1.5018, 'learning_rate': 0.000900755124056095, 'epoch': 0.4}
{'loss': 1.6744, 'learning_rate': 0.0009002157497303129, 'epoch': 0.4}
{'loss': 1.5337, 'learning_rate': 0.0008996763754045308, 'epoch': 0.4}
{'loss': 1.5992, 'learning_rate': 0.0008991370010787486, 'epoch': 0.4}
{'loss': 1.5532, 'learning_rate': 0.0008985976267529665, 'epoch': 0.41}
{'loss': 1.5492, 'learning_rate': 0.0008980582524271845, 'epoch': 0.41}
{'loss': 1.5533, 'learning_rate': 0.0008975188781014024, 'epoch': 0.41}
{'loss': 1.5001, 'learning_rate': 0.0008969795037756203, 'epoch': 0.41}
{'loss': 1.4813, 'learning_rate': 0.0008964401294498382, 'epoch': 0.41}
{'loss': 1.7044, 'learning_rate': 0.0008959007551240561, 'epoch': 0.42}
{'loss': 1.5364, 'learning_rate': 0.000895361380798274, 'epoch': 0.42}
{'loss': 1.3899, 'learning_rate': 0.0008948220064724919, 'epoch': 0.42}
{'loss': 1.4529, 'learning_rate': 0.0008942826321467098, 'epoch': 0.42}
{'loss': 1.3297, 'learning_rate': 0.0008937432578209277, 'epoch': 0.43}
{'loss': 1.5559, 'learning_rate': 0.0008932038834951457, 'epoch': 0.43}
{'loss': 1.5315, 'learning_rate': 0.0008926645091693636, 'epoch': 0.43}
{'loss': 1.5422, 'learning_rate': 0.0008921251348435815, 'epoch': 0.43}
{'loss': 1.5394, 'learning_rate': 0.0008915857605177994, 'epoch': 0.43}
{'loss': 1.6522, 'learning_rate': 0.0008910463861920173, 'epoch': 0.44}
{'loss': 1.3922, 'learning_rate': 0.0008905070118662352, 'epoch': 0.44}
{'loss': 1.5099, 'learning_rate': 0.000889967637540453, 'epoch': 0.44}
{'loss': 1.405, 'learning_rate': 0.0008894282632146709, 'epoch': 0.44}
{'loss': 1.4201, 'learning_rate': 0.0008888888888888888, 'epoch': 0.44}
{'loss': 1.2569, 'learning_rate': 0.0008883495145631068, 'epoch': 0.45}
{'loss': 1.6994, 'learning_rate': 0.0008878101402373247, 'epoch': 0.45}
{'loss': 1.538, 'learning_rate': 0.0008872707659115426, 'epoch': 0.45}
{'loss': 1.3886, 'learning_rate': 0.0008867313915857605, 'epoch': 0.45}
{'loss': 1.5028, 'learning_rate': 0.0008861920172599784, 'epoch': 0.46}
{'loss': 1.5248, 'learning_rate': 0.0008856526429341963, 'epoch': 0.46}
{'loss': 1.4638, 'learning_rate': 0.0008851132686084142, 'epoch': 0.46}
{'loss': 1.499, 'learning_rate': 0.0008845738942826321, 'epoch': 0.46}
{'loss': 1.5273, 'learning_rate': 0.00088403451995685, 'epoch': 0.46}
{'loss': 1.3156, 'learning_rate': 0.0008834951456310681, 'epoch': 0.47}
{'loss': 1.6343, 'learning_rate': 0.000882955771305286, 'epoch': 0.47}
{'loss': 1.4883, 'learning_rate': 0.0008824163969795039, 'epoch': 0.47}
{'loss': 1.3512, 'learning_rate': 0.0008818770226537218, 'epoch': 0.47}
{'loss': 1.4428, 'learning_rate': 0.0008813376483279396, 'epoch': 0.47}
{'loss': 1.3242, 'learning_rate': 0.0008807982740021575, 'epoch': 0.48}
